Question ID,Question Type,Question Text,Option A,Option B,Option C,Option D,Correct Answer Text,Unit Source File
1,MC,What term in the chapter represents the ancient ideal of balanced emotional expression?,Self-Awareness,Cognitive Reappraisal,Sophrosyne/Temperance,Distraction Techniques,Sophrosyne/Temperance,05.-Passion’s Slaves (Emotional Intelligence).txt
2,MC,"According to the chapter, what is essential to avoid being enslaved by intense passions?",Full Expression of Emotions,Self-Mastery of Emotions,Emotional Suppression,Indifference,Self-Mastery of Emotions,05.-Passion’s Slaves (Emotional Intelligence).txt
3,MC,Which concept describes the loss of control when emotions become excessively intense?,Emotional Hijacking,Cognitive Distraction,Anger Escalation,Physiological Arousal,Emotional Hijacking,05.-Passion’s Slaves (Emotional Intelligence).txt
4,MC,Which physiological components are mentioned as sustaining high levels of emotional arousal?,Cortisol only,Dopaminergic pathways,"The limbic system, catecholamine surges, and adrenocortical activation",Serotonin levels,"The limbic system, catecholamine surges, and adrenocortical activation",05.-Passion’s Slaves (Emotional Intelligence).txt
5,MC,"Which actionable step involves activities like reading, exercise, or taking a walk to counteract negative emotions?",Cognitive Reappraisal,Professional Intervention,Distraction Techniques,Thought Recording,Distraction Techniques,05.-Passion’s Slaves (Emotional Intelligence).txt
6,MC,Which key concept refers to a self-reinforcing cycle of negative thought patterns that extend anxiety?,Chronic Worry and Rumination,Emotional Hijacking,Anger Escalation,Sophrosyne/Temperance,Chronic Worry and Rumination,05.-Passion’s Slaves (Emotional Intelligence).txt
7,MC,What misconception does the chapter identify regarding the venting of anger?,Venting always reduces emotional intensity,Venting is a form of self-awareness,Venting does not change emotions,Venting can intensify anger (Catharsis Fallacy),Venting can intensify anger (Catharsis Fallacy),05.-Passion’s Slaves (Emotional Intelligence).txt
8,MC,Which actionable step advises challenging and reframing initial negative appraisals by considering alternative perspectives?,Self-Awareness,Cognitive Reappraisal,Relaxation Methods,Scheduled Pleasant Activities,Cognitive Reappraisal,05.-Passion’s Slaves (Emotional Intelligence).txt
9,MC,Which step involves writing down distressing thoughts to evaluate and counteract their intensity?,Thought Recording,Cognitive Reappraisal,Distraction Techniques,Professional Intervention,Thought Recording,05.-Passion’s Slaves (Emotional Intelligence).txt
10,MC,What method is recommended for use at the onset of emotional escalation to promote relaxation?,Engaging in exercise,"Deep breathing, muscle relaxation, or mindfulness",Thought Recording,Cognitive Reappraisal,"Deep breathing, muscle relaxation, or mindfulness",05.-Passion’s Slaves (Emotional Intelligence).txt
